issueId,prId,prTitle,prDescription,prStatus,prFilePaths,prCreatorLoginId,prCreatedDate,prMergedDate
54681,54683,Don't deserialize mutable defaults,"Fix: https://github.com/rails/rails/issues/54681
 Followup: https://github.com/rails/rails/pull/54585
 
 We can't deserialize mutable types because otherwise mutations would leak  or we'd need to deep dup them. It's more efficient to keep them serialized in default.
 
 However for immutable types like Integer  it's both faster and more correct to eagerly deserialize them.
 ",closed,activerecord/lib/active_record/attributes.rb; activerecord/lib/active_record/connection_adapters/column.rb; activerecord/test/cases/adapters/postgresql/geometric_test.rb; activerecord/test/cases/adapters/postgresql/json_test.rb; activerecord/test/cases/adapters/sqlite3/json_test.rb; activerecord/test/cases/adapters/sqlite3/sqlite3_adapter_test.rb; activerecord/test/cases/migration/change_schema_test.rb; activerecord/test/cases/migration/columns_test.rb; activerecord/test/cases/migration_test.rb,byroot,2025-03-03T20:50:24Z,2025-03-04T11:06:56Z
54636,54646,Fix CurrentAttributes not setting an attribute's default:,"### Motivation / Background
 
 - Fix #54636
 
 ### Detail
 
 - ### Problem
 
   When calling an attribute that has a default  `nil` would be returned instead.
 
   ### Context
 
   CurrentAttributes uses a cache to store each CurrentAttributes subclasses instance. When the class method `instance` gets called  we instantiate the class and populate the cache. The defaults of each attributes are set when the class is instantiated.
 
   This basically means that once we instantiate the class  all attribute having a default that are later defined will be ignored.
 
   ### Details
 
   CurrentAttributes has a `method_added` hook which also call the `instance` class method. So depending on how your class is setup (e.g. you define a method and then define an attribute with a default)  you'd hit the bug.
 
   This is even more sneaky when using a `delgate_to`:
 
   ```ruby
   class Current < CurrentAttributes
     attribute :user_session
     delegate :user  to: :user_session # Ends up triggering the `method_added` hook
 
     attribute :foo  default: 0 # Default would be ignored.
   end
   ```
 
   ### Solution
 
   Remove the instance from the cache each time we define an attribute.
 
   ### Alternative
 
   We could modify the `method_added` hook instead but we'd still be prone to this issue anytime `respond_to_missing` or the `method_missing` hooks are called as they also trigger the bug.
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,activesupport/lib/active_support/current_attributes.rb; activesupport/test/current_attributes_test.rb,Edouard-chin,2025-02-28T00:55:40Z,2025-02-28T13:09:39Z
54595,54705,Don't rebuild the middleware stack when using `with_routing`,"### Motivation / Background
 
 Fix #54595
 
 ### Detail
 
 #### Problem
 
 When using the `with_routing` helper method in an integration test  we rebuild the middleware stack so that the entrypoint of our new stack is the new RouteSet object.
 
 By rebuilding the middleware stack from scratch  we may end un-configuring a middleware from an application. We also break the contract of the Rails initialization process.
 
 For instance  if you have a middleware that needs to be configured  after the Rails routes are loaded  this is what it would look like:
 
 ```ruby
 # config/application.rb
 
 warden_config = nil
 
 config.middleware.use Warden::Manager do |config|
   # The Warden middleware yields its config when the middleware is
   # instantiated. We can't configure warden yet as the routes
   # are not yet loaded.
 
   warden_config = config
 end
 
 initializer :configure_warden do
   ActiveSupport.on_load(:after_routes_loaded) do
     # The routes are now loaded  we can configure warden
   end
 end
 ```
 
 This snippet follows the order of the documented Rails initialization process where first the middleware stack is built and then the routes gets loaded.
 
 --------------------
 
 By rebuilding the middleware stack  we unconfigure what was done in the initializer.
 
 ### Solution
 
 Since rebuilding the middleware stack has some caveats  my idea is to modify the middleware stack original entry point and redefine `call` so that it calls our new RouteSet middleware.
 We have a reference to the original RouteSet middleware thanks to the `application.routes` method.
 
 
 ### Checklist
 
 Before submitting the PR make sure the following are checked:
 
 * [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
 * [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
 * [x] Tests are added or updated if you fix a bug or add a feature.
 * [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
 ",closed,actionpack/lib/action_dispatch/testing/assertions/routing.rb; actionpack/test/dispatch/routing_assertions_test.rb,Edouard-chin,2025-03-06T16:57:45Z,2025-03-07T13:38:58Z
54579,54581,Fix test when Rails may not be defined:,"Fix test when Rails may not be defined:
 
 - Fix #54579
 - I don't think it's worth moving that test to the railties suite  it's simple enough that we can stub a constant.
 - Worth to note: Reproducing the problem is dependent on the gem you have globally installed. But if you have never installed railties  and you run this test without activating the bundler spec (.e.g `ruby -I""lib:test test_file.rb`)  this would cause the problem.
 
 >[!NOTE]
 > To backport please
 
 ",closed,activerecord/test/cases/adapters/sqlite3/dbconsole_test.rb,Edouard-chin,2025-02-20T11:49:41Z,2025-02-21T09:03:31Z
